result,year,size,no_datasource,no_visual,no_intera,,,,,,,
Shortlist,2021,Small,2,2,0,,,,,,,
Shortlist,2021,Big,0,2,0,,,,,,,
Shortlist,2021,Big,2,4,2,,,,,,,
Shortlist,2021,Big,1,1,1,,,,,,,
Shortlist,2021,Big,2,2,1,,,,,,,
Shortlist,2021,Big,1,5,3,,,,,,,
Shortlist,2021,Small,1,1,1,,,,,,,
Shortlist,2021,Big,1,2,1,,,,,,,
Shortlist,2021,Small,1,4,2,,,,,,,
Shortlist,2021,Big,1,4,3,,,,,,,
Shortlist,2021,Big,1,5,1,,,,,,,
Shortlist,2021,Big,1,3,2,,,,,,,
Shortlist,2021,Big,2,2,0,,,,,,,
Shortlist,2021,Big,1,3,1,,,,,,,
Shortlist,2021,Big,2,1,3,,,,,,,
Shortlist,2021,Small,2,3,1,,,,,,,
Shortlist,2021,Big,1,4,0,,,,,,,
Shortlist,2021,Big,1,3,0,,,,,,,
Shortlist,2021,Big,2,6,4,,,,,,,
Shortlist,2021,Big,2,3,3,,,,,,,
Shortlist,2021,Small,1,2,4,,,,,,,
Shortlist,2021,Big,2,4,4,,,,,,,
Shortlist,2021,Big,3,4,2,,,,,,,
Shortlist,2021,Small,3,5,3,,,,,,,
Shortlist,2021,Small,1,2,3,,,,,,,
Shortlist,2021,Small,2,2,1,,,,,,,
Shortlist,2021,Big,3,3,4,,,,,,,
Shortlist,2021,Small,1,2,0,,,,,,,
Shortlist,2021,Small,3,1,3,,,,,,,
Shortlist,2021,Big,1,5,4,,,,,,,
Shortlist,2021,Big,3,2,0,,,,,,,
Shortlist,2021,Big,3,2,0,,,,,,,
Shortlist,2022,Small,2,8,1,,,,,,,
Shortlist,2022,Small,1,3,1,,,,,,,
Shortlist,2022,Big,2,5,1,,,,,,,
Shortlist,2022,Big,3,3,4,,,,,,,
Shortlist,2022,Small,2,7,2,,,,,,,
Shortlist,2022,Small,2,2,2,,,,,,,
Shortlist,2022,Small,2,2,1,,,,,,,
Shortlist,2022,Small,2,3,2,,,,,,,
Shortlist,2022,Small,1,4,1,,,,,,,
Shortlist,2022,Small,2,2,1,,,,,,,
Shortlist,2022,Big,1,3,3,,,,,,,
Shortlist,2022,Big,2,5,1,,,,,,,
Shortlist,2022,Small,1,1,1,,,,,,,
Shortlist,2022,Small,1,1,1,,,,,,,
Shortlist,2022,Small,1,4,1,,,,,,,
Shortlist,2022,Small,3,5,4,,,,,,,
Shortlist,2022,Big,2,5,4,,,,,,,
Shortlist,2022,Big,1,2,1,,,,,,,
Shortlist,2022,Small,1,1,1,,,,,,,
Shortlist,2022,Big,1,2,3,,,,,,,
Shortlist,2022,Big,1,4,2,,,,,,,
Shortlist,2022,Small,1,2,1,,,,,,,
Shortlist,2022,Small,2,5,1,,,,,,,
Shortlist,2022,Big,1,3,1,,,,,,,
Shortlist,2022,Big,2,5,1,,,,,,,
Shortlist,2022,Big,2,5,2,,,,,,,
Shortlist,2022,Big,1,3,3,,,,,,,
Shortlist,2022,Small,1,3,2,,,,,,,
Shortlist,2022,Big,2,4,4,,,,,,,
Shortlist,2022,Big,1,2,5,,,,,,,
Shortlist,2022,Big,2,5,2,,,,,,,
Shortlist,2022,Small,1,3,1,,,,,,,
Shortlist,2022,Big,2,5,1,,,,,,,
Shortlist,2022,Small,1,1,1,,,,,,,
Shortlist,2022,Small,3,5,1,,,,,,,
Shortlist,2022,Small,1,1,4,,,,,,,
Shortlist,2022,Small,2,4,4,,,,,,,
Shortlist,2022,Big,1,4,3,,,,,,,
Shortlist,2022,Big,2,5,2,,,,,,,
Shortlist,2022,Big,2,8,2,,,,,,,
Shortlist,2022,Big,2,5,1,,,,,,,
Shortlist,2022,Big,1,4,2,,,,,,,
Shortlist,2022,Big,2,3,4,,,,,,,
Shortlist,2022,Big,1,2,1,,,,,,,
Shortlist,2022,Big,2,4,1,,,,,,,
Shortlist,2022,Big,1,3,1,,,,,,,
Shortlist,2022,Small,1,6,2,,,,,,,
